datetime,ticker,n_contracts,side,curr_ask,ev
2024-04-11T10:00:00.841962,INX-24APR11-T5100,9.0,yes,6,2.6195514160796236
2024-04-11T10:00:00.953257,INX-24APR11-B5162,1.0,no,73,5.577629516191337
2024-04-11T11:18:00.850246,INX-24APR11-T5100,35.0,yes,4,5.501468081510788
2024-04-11T11:18:00.904011,INX-24APR11-B5112,8.0,yes,11,3.8109216418272354
2024-04-11T11:18:00.968280,INX-24APR11-B5162,4.0,no,66,10.463684872624512
2024-04-11T11:18:01.073981,INX-24APR11-B5212,18.0,yes,5,3.6551763669089894
2024-04-11T11:19:01.131407,INX-24APR11-B5212,1.0,yes,5,4.469597257684148
2024-04-11T11:24:00.947186,INX-24APR11-T5100,14.0,yes,5,2.6607267772140633
2024-04-11T11:24:01.005470,INX-24APR11-B5112,9.0,yes,10,3.3103506122865056
2024-04-11T11:24:01.114859,INX-24APR11-B5162,4.0,no,66,9.805792832084535
2024-04-11T11:24:01.241838,INX-24APR11-B5212,26.0,yes,5,4.868463060710631
2024-04-11T11:40:00.849116,INX-24APR11-T5100,4.0,yes,4,3.359358566521509
2024-04-11T11:40:00.904023,INX-24APR11-B5112,2.0,yes,9,4.541186785081619
2024-04-11T11:40:01.097338,INX-24APR11-B5212,5.0,yes,5,4.339406172980013
2024-04-11T11:41:00.788033,INX-24APR11-T5100,2.0,yes,4,2.7804566547559304
2024-04-11T11:41:00.841734,INX-24APR11-B5112,2.0,yes,8,4.945567940100844
2024-04-11T11:41:01.012144,INX-24APR11-B5212,2.0,yes,6,3.8459143219200804
2024-04-11T11:42:00.823426,INX-24APR11-B5112,12.0,yes,7,5.550470370239864
2024-04-11T11:42:00.887913,INX-24APR11-B5162,2.0,no,64,10.901836025152846
2024-04-11T11:42:00.944027,INX-24APR11-B5187,1.0,no,74,6.484430006937075
2024-04-11T11:42:01.009083,INX-24APR11-B5212,10.0,yes,6,4.183624305597549
2024-04-11T11:43:00.790847,INX-24APR11-B5112,36.0,yes,7,5.541173727451033
2024-04-11T11:43:00.846099,INX-24APR11-B5162,7.0,no,64,10.855058534894297
2024-04-11T11:43:00.906936,INX-24APR11-B5187,3.0,no,75,5.466518037879325
2024-04-11T11:43:00.962026,INX-24APR11-B5212,32.0,yes,6,4.168091294721581
2024-04-11T11:44:00.719140,INX-24APR11-B5112,4.0,yes,8,3.7564295230228257
2024-04-11T11:44:00.773040,INX-24APR11-B5162,1.0,no,64,10.732666005569598
2024-04-11T11:44:00.888495,INX-24APR11-B5212,12.0,yes,5,5.886838590273362
2024-04-11T11:57:00.764561,INX-24APR11-B5112,7.0,yes,6,5.148749609198042
2024-04-11T11:57:00.817830,INX-24APR11-B5137,1.0,yes,18,2.9995771069755044
2024-04-11T11:57:00.879015,INX-24APR11-B5162,1.0,no,64,10.077333631917071
2024-04-11T11:57:00.990827,INX-24APR11-B5212,5.0,yes,7,4.122367584175697
2024-04-11T11:58:00.750098,INX-24APR11-B5112,5.0,yes,6,4.378051238018662
2024-04-11T11:58:00.804199,INX-24APR11-B5137,1.0,yes,17,3.2845012737260966
2024-04-11T11:58:00.857172,INX-24APR11-B5162,1.0,no,64,10.060832408961446
2024-04-11T11:58:00.985039,INX-24APR11-B5212,3.0,yes,8,3.8833074429257834
2024-04-11T11:59:00.717602,INX-24APR11-B5112,12.0,yes,5,4.967834801928053
2024-04-11T11:59:00.775568,INX-24APR11-B5137,4.0,yes,15,4.89784253032531
2024-04-11T11:59:00.831273,INX-24APR11-B5162,2.0,no,64,10.057561528772993
2024-04-11T11:59:00.889224,INX-24APR11-B5187,1.0,no,68,9.904895525749708
2024-04-11T11:59:00.943576,INX-24APR11-B5212,4.0,yes,9,3.291721159200508
2024-04-11T12:00:00.803415,INX-24APR11-B5112,66.0,yes,4,5.949405388149547
2024-04-11T12:00:00.855693,INX-24APR11-B5137,18.0,yes,14,5.916287673729087
2024-04-11T12:00:00.941080,INX-24APR11-B5162,6.0,no,65,9.005847172083833
2024-04-11T12:00:00.994429,INX-24APR11-B5187,8.0,no,65,12.875111098013221
2024-04-11T12:00:01.050045,INX-24APR11-B5212,10.0,yes,10,2.2793334022776808
2024-04-11T12:01:01.019404,INX-24APR11-B5112,17.0,yes,4,5.930703177276442
2024-04-11T12:01:01.075169,INX-24APR11-B5137,5.0,yes,14,5.934814527737409
2024-04-11T12:01:01.130184,INX-24APR11-B5162,1.0,no,65,8.953604701072535
2024-04-11T12:01:01.184623,INX-24APR11-B5187,2.0,no,65,12.845100276439041
2024-04-11T12:01:01.263233,INX-24APR11-B5212,2.0,yes,10,2.2667061650226223
2024-04-11T12:25:00.783262,INX-24APR11-B5112,2.0,yes,4,3.2929766008638417
2024-04-11T12:25:00.845059,INX-24APR11-B5137,1.0,yes,12,5.682874498549513
2024-04-11T12:27:00.782981,INX-24APR11-B5112,2.0,yes,4,3.574912234610885
2024-04-11T12:27:00.845707,INX-24APR11-B5137,1.0,yes,13,5.158073401897813
2024-04-11T12:28:00.759498,INX-24APR11-B5112,1.0,yes,5,2.507194215276286
2024-04-11T12:28:00.982805,INX-24APR11-B5212,1.0,yes,10,4.111208025826382
2024-04-11T12:44:00.798867,INX-24APR11-B5112,1.0,yes,4,4.042283632240228
2024-04-11T12:45:00.769844,INX-24APR11-B5112,3.0,yes,4,3.439329485321852
2024-04-11T12:45:00.825485,INX-24APR11-B5137,1.0,yes,14,4.817994364439212
2024-04-11T12:45:00.985443,INX-24APR11-B5212,1.0,yes,9,4.288766510380512
2024-04-11T12:51:00.705042,INX-24APR11-B5137,5.0,yes,12,5.177428837233531
2024-04-11T12:51:00.812886,INX-24APR11-B5187,1.0,no,64,9.393390666757526
2024-04-11T12:51:00.869346,INX-24APR11-B5212,4.0,yes,11,3.7844333824638348
2024-04-11T12:52:00.705580,INX-24APR11-B5137,3.0,yes,12,5.31026453835635
2024-04-11T12:52:00.818624,INX-24APR11-B5187,1.0,no,64,9.42808945329611
2024-04-11T12:52:00.872541,INX-24APR11-B5212,2.0,yes,11,3.638730621412609
2024-04-11T13:05:00.650202,INX-24APR11-B5137,12.0,yes,7,9.335171187907815
2024-04-11T13:05:00.707383,INX-24APR11-B5187,2.0,no,57,15.091815409205537
2024-04-11T13:05:01.116601,INX-24APR11-B5212,-138.0,yes,16,0
2024-04-11T13:06:00.719073,INX-24APR11-B5137,107.0,yes,7,9.324459393668679
2024-04-11T13:06:00.780006,INX-24APR11-B5187,21.0,no,57,15.028357656486875
2024-04-11T13:06:01.171569,INX-24APR11-B5162,-265.0,no,72,0
2024-04-11T13:07:00.678080,INX-24APR11-B5137,1042.0,yes,6,7.4235445286945065
2024-04-11T13:07:00.734725,INX-24APR11-B5162,57.0,yes,25,1.6936241989567336
2024-04-11T13:07:00.791283,INX-24APR11-B5187,198.0,no,57,13.424132173598139
2024-04-11T13:08:00.965100,INX-24APR11-B5137,6.0,yes,6,5.924523736723627
