datetime,market,ev,bid,ask
2024-04-16T09:49:47.605102,INX-24APR16-B5137,-1.9895783319127522,3,4
2024-04-16T09:50:01.662997,INX-24APR16-T5000,-4.177198658857369,14,16
2024-04-16T09:50:01.663324,INX-24APR16-B5012,3.884562614267452,12,13
2024-04-16T09:50:01.663557,INX-24APR16-B5037,5.685618245984063,17,18
2024-04-16T09:50:01.663780,INX-24APR16-B5062,2.83990480697976,19,20
2024-04-16T09:50:01.664039,INX-24APR16-B5087,-4.86051896795599,18,20
2024-04-16T09:50:01.664249,INX-24APR16-B5112,-4.103147396910191,10,11
2024-04-16T09:50:01.664446,INX-24APR16-B5137,-1.8414627254948766,2,4
2024-04-16T10:20:23.413231,INX-24APR16-T5000,-4.368299588974528,8,9
2024-04-16T10:20:23.413652,INX-24APR16-B5012,0.366284565377029,9,10
2024-04-16T10:20:23.413868,INX-24APR16-B5037,3.781516687293532,15,16
2024-04-16T10:20:23.414082,INX-24APR16-B5062,2.241165065576361,21,23
2024-04-16T10:20:23.414288,INX-24APR16-B5087,-1.4605332096635735,22,23
2024-04-16T10:20:23.414495,INX-24APR16-B5112,-2.7087648160780446,13,15
2024-04-16T10:20:23.414691,INX-24APR16-B5137,-0.31132084953953765,4,5
2024-04-16T10:25:13.233924,INX-24APR16-T5000,-4.750355194384178,10,12
2024-04-16T10:25:13.234046,INX-24APR16-B5012,1.8295762553778907,11,12
2024-04-16T10:25:13.234124,INX-24APR16-B5037,5.965581239912407,16,17
2024-04-16T10:25:13.234183,INX-24APR16-B5062,2.2380149704179715,22,23
2024-04-16T10:25:13.234242,INX-24APR16-B5087,-2.644408719778106,20,21
2024-04-16T10:25:13.234298,INX-24APR16-B5112,-3.166575754767887,10,12
2024-04-16T10:25:13.234356,INX-24APR16-B5137,-1.1884717204087534,3,4
2024-04-16T10:26:48.064456,INX-24APR16-T5000,-4.413553128091085,10,12
2024-04-16T10:26:48.064723,INX-24APR16-B5012,2.239241891619942,11,12
2024-04-16T10:26:48.064909,INX-24APR16-B5037,5.292764145298712,17,18
2024-04-16T10:26:48.065085,INX-24APR16-B5062,2.166798881631223,22,23
2024-04-16T10:26:48.065260,INX-24APR16-B5087,-3.0390393672960627,20,21
2024-04-16T10:26:48.065427,INX-24APR16-B5112,-3.5349136262260554,10,12
2024-04-16T10:26:48.065583,INX-24APR16-B5137,-1.366516165442385,2,4
2024-04-16T10:27:01.527995,INX-24APR16-T5000,-4.420500042970826,11,12
2024-04-16T10:27:01.528248,INX-24APR16-B5012,1.2384035895516128,11,13
2024-04-16T10:27:01.528420,INX-24APR16-B5037,5.298901923044124,17,18
2024-04-16T10:27:01.528579,INX-24APR16-B5062,2.174705830722523,22,23
2024-04-16T10:27:01.528731,INX-24APR16-B5087,-3.0373645323468565,19,21
2024-04-16T10:27:01.528881,INX-24APR16-B5112,-2.538297057651752,10,11
2024-04-16T10:28:01.581994,INX-24APR16-T5000,-5.817992673978076,12,13
2024-04-16T10:28:01.582255,INX-24APR16-B5012,-0.16416642697240036,13,14
2024-04-16T10:28:01.582437,INX-24APR16-B5037,5.053326176026808,17,18
2024-04-16T10:28:01.582599,INX-24APR16-B5062,1.333180406690019,23,24
2024-04-16T10:28:01.582753,INX-24APR16-B5087,-1.6388194429012124,18,20
2024-04-16T10:28:01.582912,INX-24APR16-B5112,-1.2244343015798052,9,10
2024-04-16T10:29:01.988583,INX-24APR16-T5000,-5.937825359586217,13,14
2024-04-16T10:29:01.989110,INX-24APR16-B5012,0.8015043697750919,13,14
2024-04-16T10:29:01.989566,INX-24APR16-B5037,4.720646242288996,18,19
2024-04-16T10:29:01.989969,INX-24APR16-B5062,2.041253371778936,22,23
2024-04-16T10:29:01.990356,INX-24APR16-B5087,-1.585536405880056,18,19
2024-04-16T10:29:01.990750,INX-24APR16-B5112,-2.024000568910303,8,10
2024-04-16T10:30:01.548297,INX-24APR16-T5000,-4.841659790584018,13,14
2024-04-16T10:30:01.548605,INX-24APR16-B5012,1.9044807744813497,13,14
2024-04-16T10:30:01.548836,INX-24APR16-B5037,5.382365570492997,18,19
2024-04-16T10:30:01.549048,INX-24APR16-B5062,1.593428168030286,22,23
2024-04-16T10:30:01.549249,INX-24APR16-B5087,-2.678814587154161,17,19
2024-04-16T10:30:01.549452,INX-24APR16-B5112,-1.8754709610842273,8,9
2024-04-16T10:31:01.883892,INX-24APR16-T5000,-4.042976715090061,13,14
2024-04-16T10:31:01.884429,INX-24APR16-B5012,2.659593531697414,13,14
2024-04-16T10:31:01.884858,INX-24APR16-B5037,5.7854397924973995,18,19
2024-04-16T10:31:01.885258,INX-24APR16-B5062,1.2318646720810271,22,23
2024-04-16T10:31:01.885659,INX-24APR16-B5087,-3.4321588597703343,17,19
2024-04-16T10:31:01.886052,INX-24APR16-B5112,-2.429573291694112,8,9
2024-04-16T10:32:02.269770,INX-24APR16-T5000,-4.077351004168277,13,14
2024-04-16T10:32:02.270406,INX-24APR16-B5012,2.662569007871987,13,14
2024-04-16T10:32:02.270986,INX-24APR16-B5037,5.818991088103804,18,19
2024-04-16T10:32:02.271415,INX-24APR16-B5062,1.2630472523266647,22,23
2024-04-16T10:32:02.271824,INX-24APR16-B5087,-3.432498469880656,17,19
2024-04-16T10:32:02.272221,INX-24APR16-B5112,-2.4464656117834576,8,9
2024-04-16T10:33:01.608227,INX-24APR16-T5000,-5.380664463533828,14,15
2024-04-16T10:33:01.608775,INX-24APR16-B5012,1.4248613895486244,13,15
2024-04-16T10:33:01.609193,INX-24APR16-B5037,5.7390115859851605,18,19
2024-04-16T10:33:01.609591,INX-24APR16-B5062,1.425609015290462,22,23
2024-04-16T10:33:01.609975,INX-24APR16-B5087,-2.1916306014317772,17,18
2024-04-16T10:33:01.610357,INX-24APR16-B5112,-2.2952991151952737,7,9
2024-04-16T10:34:01.607130,INX-24APR16-T5000,-4.908955588698758,14,15
2024-04-16T10:34:01.607443,INX-24APR16-B5012,1.8763444037216104,13,15
2024-04-16T10:34:01.607859,INX-24APR16-B5037,4.979754260902453,19,20
2024-04-16T10:34:01.608260,INX-24APR16-B5062,1.206991782340424,22,23
2024-04-16T10:34:01.608651,INX-24APR16-B5087,-2.642274871474788,17,18
2024-04-16T10:34:01.609043,INX-24APR16-B5112,-1.6230719618532214,7,8
2024-04-16T10:35:01.605682,INX-24APR16-T5000,-4.73615656778105,14,15
2024-04-16T10:35:01.606231,INX-24APR16-B5012,2.05958097273486,13,15
2024-04-16T10:35:01.606661,INX-24APR16-B5037,5.092006694176149,19,20
2024-04-16T10:35:01.607063,INX-24APR16-B5062,1.1324337247433078,22,23
2024-04-16T10:35:01.607460,INX-24APR16-B5087,-2.8241271014125395,16,18
2024-04-16T10:35:01.607851,INX-24APR16-B5112,-1.7618697583607608,7,8
2024-04-16T10:36:01.604985,INX-24APR16-T5000,-4.771059898216194,14,15
2024-04-16T10:36:01.605530,INX-24APR16-B5012,3.063552313308435,13,14
2024-04-16T10:36:01.605948,INX-24APR16-B5037,5.126664885707161,19,20
2024-04-16T10:36:01.606345,INX-24APR16-B5062,1.1629650377136898,22,23
2024-04-16T10:36:01.606732,INX-24APR16-B5087,-2.825877845810993,17,18
2024-04-16T10:36:01.607121,INX-24APR16-B5112,-1.7790803875662267,7,8
2024-04-16T10:37:01.609756,INX-24APR16-T5000,-5.928617940855288,14,16
2024-04-16T10:37:01.610282,INX-24APR16-B5012,1.9606742979685627,14,15
2024-04-16T10:37:01.610718,INX-24APR16-B5037,5.115302202602251,19,20
2024-04-16T10:37:01.611132,INX-24APR16-B5062,1.2566865825064468,22,23
2024-04-16T10:37:01.611530,INX-24APR16-B5087,-1.7204155755309056,16,17
2024-04-16T10:37:01.611924,INX-24APR16-B5112,-1.7246507914301086,6,8
2024-04-16T10:38:01.642710,INX-24APR16-T5000,-7.032479872074678,17,18
2024-04-16T10:38:01.643235,INX-24APR16-B5012,1.752813003624528,15,16
2024-04-16T10:38:01.643660,INX-24APR16-B5037,5.466747517364208,19,20
2024-04-16T10:38:01.644089,INX-24APR16-B5062,1.7972267647453606,21,22
2024-04-16T10:38:01.644478,INX-24APR16-B5087,-1.5154642158027052,14,16
2024-04-16T10:38:01.644859,INX-24APR16-B5112,-1.2594164956776055,5,7
2024-04-16T10:39:01.641525,INX-24APR16-T5000,-4.769067808302614,17,18
2024-04-16T10:39:01.642076,INX-24APR16-B5012,3.4832381209866696,15,16
2024-04-16T10:39:01.642396,INX-24APR16-B5037,5.98921184903238,19,20
2024-04-16T10:39:01.642687,INX-24APR16-B5062,-0.44622569549045465,21,23
2024-04-16T10:39:01.642971,INX-24APR16-B5087,-3.2680529239036833,15,16
2024-04-16T10:39:01.643255,INX-24APR16-B5112,-2.3264788016054414,5,7
2024-04-16T10:46:21.300735,INX-24APR16-T5000,-3.9900578769457784,12,13
